No.,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,X%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,BLI,CENT,ICR,Wap,MAXDN,LOC,X5v,Yindex,IC1,CIC1,CIC5,Chi_D/Dt,J_D/Dt,J_Dz(Z),SpPosA_Dz(e),SM1_Dz(e),ChiA_Dz(p),SpMax_B(m),SpMax_B(s),ATSC1m,ATSC1p,GATS7m,GATS8m,GATS6e,GATS7p,GATS7s,GATS8s,SpMax2_Bh(m),P_VSA_LogP_1,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_8,P_VSA_v_3,P_VSA_v_4,P_VSA_s_1,SpDiam_EA(bo),SpMax_AEA(dm),SM13_EA(dm),SM09_AEA(dm),Eig02_EA(dm),nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nArOH,nOHs,nROR,nArOR,nArX,C-005,C-006,C-011,C-019,C-026,C-028,C-034,H-046,H-048,H-049,H-051,H-052,H-053,O-060,O-061,N-075,F-083,SdCH2,SssCH2,StCH,StsC,SdssC,SaasC,SaaaC,SdNH,SsssN,StN,SaaNH,SaaO,SdsssP,SdS,SssS,SddssS,SsBr,NssssC,NsNH2,NdsN,CATS2D_04_DD,CATS2D_05_DD,CATS2D_07_DD,CATS2D_02_DA,CATS2D_04_DA,CATS2D_07_DA,CATS2D_01_DN,CATS2D_02_DL,CATS2D_01_AA,CATS2D_02_AA,CATS2D_03_AA,CATS2D_04_AA,CATS2D_05_AA,CATS2D_06_AA,CATS2D_07_AA,CATS2D_09_AA,CATS2D_05_AN,CATS2D_01_AL,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_03_PL,CATS2D_05_PL,CATS2D_06_PL,CATS2D_08_PL,CATS2D_03_NL,CATS2D_06_NL,CATS2D_09_NL,CATS2D_03_LL,CATS2D_08_LL,T(N..S),T(N..P),T(N..Cl),T(N..Br),T(N..I),T(O..F),T(O..Cl),T(O..Br),T(S..S),T(S..P),T(S..Cl),T(S..Br),T(P..F),T(P..Cl),T(P..Br),T(F..Cl),T(F..Br),T(F..I),T(Cl..Cl),T(Cl..Br),T(Cl..I),T(Br..Br),F02[C-P],F02[C-Si],F02[N-N],F02[N-S],F02[O-S],F03[C-Si],F03[C-X],F03[N-O],F03[O-F],F03[O-X],F03[Cl-Cl],F04[N-N],F04[N-O],F04[O-O],F04[O-S],F04[O-Cl],F05[N-N],F05[N-F],F05[O-S],F05[O-F],F05[O-Cl],F06[C-X],F06[N-F],F06[O-F],F06[O-Cl],F07[N-N],F07[N-O],F07[O-S],F07[O-F],F08[C-S],F08[C-Cl],F08[N-N],F08[O-F],F09[O-O],F09[O-F],F09[O-X],F10[N-N],F10[N-O],F10[O-O],MLOGP2,ALOGP2,BLTF96,Class
1,145.17,8.065,11,0,1,0,0,0,0,50,5.6,5.6,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0.851,71,1.495,940,1.428,0.629,0.688,1.476,2.663,1.507,0,3.577,14.3087,3.065,1.547,0.325,0.052,3.895,6.314,3.059,1.546,0,0,0.693,0,0,0,3.354,0,0,0,0,61.146,0,0,7.421,3.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.239,1.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.857,3.059,-3.06,Antibacterial
2,604.81,6.952,13,7,10,0,0,0,0,31,11.5,6.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.966,5009,3.388,10114,2.924,3.339,2.417,0.924,3.686,2.757,0.914,1.084,23.3069,3.2328,7.455,1.35,0.002,3.623,7.478,19.91,6.574,1.008,0.964,1.289,1.111,1.167,1.027,3.797,17.65,8.074,0,0,114.919,0,0,6.471,3.839,11.398,0.978,1.987,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,1,0,11,0,0,0,0,0,0,1.508,0,0,-3.667,0.692,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,4,9,0,1,1,4,0,0,0,0,4,2,2,1,0,0,2,6,6,0,4,0,0,1,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,4,0,0,0,0,2,3,0,0.183,0.064,-1.03,Antibacterial
3,530.37,9.144,11,5,2,0,0,2,2,37.9,3.4,15.5,3.4,4,10,3,0,0,3,0,0,0,0,0,0,0,0.932,1585,2.507,55239,4.265,1.128,4.727,0.839,4.363,1.495,0.418,3.483,26.4745,2.2469,4.147,1.365,0.006,4.281,7.451,14.037,5.564,1.137,1.147,1.192,0.903,1.179,0.943,4.058,NaN,NaN,NaN,NaN,151.346,0,0,7.394,4.382,8.345,0.409,1.048,0,2,4,2,2,0,1,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,-7.364,-0.643,0,0,1.317,0,0,0,0,0,0,0,0,2,1,0,2,4,3,1,9,2,0,8,0,0,0,1,3,2,2,1,0,1,9,7,6,0,1,1,1,0,0,0,13,3,0,0,36,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,0,0,1,0,0,0,1,0,0,0,4,0,2,0,0,0,5,0,0,1,0,0,0,1,2,1.376,NaN,-0.39,Antibacterial
4,611.72,9.71,15,10,6,3,0,0,3,34.9,9.5,14.3,0,5,7,2,2,1,0,0,81.67,0,167.414,173.487,0,0,1.026,3504,3.043,67606,6.027,1.296,4.697,0.449,4.674,1.303,0.298,1.944,14.2586,1.6505,5.713,1.449,0.003,4.715,7.776,11.53,6.348,1.268,1.138,0.91,1.311,1.049,1.392,4.221,NaN,NaN,NaN,NaN,158.181,0,3.043,7.31,5.008,10.892,0.847,2.9,0,4,0,4,2,0,0,0,0,0,0,1,2,0,2,0,1,0,4,2,1,0,2,0,2,0,1,0,0,3.222,0,0,-0.386,0.359,0,0,1.113,0,0,0,0,0,1.295,-5.111,0,0,1,1,0,0,0,5,2,2,1,1,2,5,7,5,8,7,4,4,1,0,7,5,7,0,0,0,0,0,0,3,3,1,121,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,4,0,0,0,2,4,1,2,0,1,0,5,0,0,0,0,0,0,2,3,2,0,4,0,0,0,1,0,0,1,3,2,2.643,NaN,-2.77,Antibacterial
5,262.24,9.043,9,3,2,0,0,0,0,41.4,6.9,17.2,0,3,6,2,1,1,1,0,0,0,0,53.858,0,0,0.813,346,2.168,6633,3.008,1.039,1.381,0.96,3.836,1.022,0.302,3.327,17.4669,2.3975,2.728,0.92,0.015,3.938,7.483,3.965,2.569,1.722,1.063,1.323,0.769,2.006,0.698,3.626,8.825,23.542,0,0,61.763,0,0,7.237,3.836,0,-1.481,1.392,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,2,0,0,3,0,2,0,0,0,0,0.53,0,0,-2.453,1.758,0,0,1.46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,1,1,2,4,3,2,1,0,0,0,6,8,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527,1.936,-2.01,Antibacterial
6,355.43,9.873,15,4,3,2,0,0,2,36.1,8.3,13.9,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1.096,717,2.91,4206,4.659,1.659,2.087,0.666,4.072,1.097,0.389,1.426,11.406,2.5635,4.314,1.026,0.009,4.716,7.716,6.602,3.68,0.901,0.885,1,1.051,0.684,0.837,4.162,0,11.771,0,31.278,107.178,0,5.807,7.707,4.686,11.117,-1,1.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,4,0,0,0,0,1,0,0,-0.42,0,0,-1.515,0.667,0,0,0,0,0,0,0,0,0,-3.742,0,0,0,0,0,1,0,5,0,0,1,5,0,1,0,2,1,0,0,0,0,0,3,6,2,0,0,0,0,0,2,0,2,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.314,0.529,-1.87,Antibacterial
7,212.01,13.251,2,2,1,0,0,0,1,25,6.3,25,6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,1.03,72,1.571,288,2.481,1.185,0.452,2.039,2.656,1.344,1,1.796,8.9797,3.3136,1.758,0.82,0.033,6.88,7.813,1.356,1.478,0,0,2.79,0,0,0,3.718,5.67,23.542,50.747,45.954,61.789,0,0,5.888,4.199,12.68,0,1.392,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.911,1,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.455,-1.56,Antibacterial
8,916.24,6.498,5,5,1,0,0,0,0,32.6,0.7,12.1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1.015,11356,3.595,156017,2.741,0.999,6.251,0.473,3.181,3.958,0.547,1.864,24.9794,1.8217,8.452,1.673,0.001,3.64,7.437,35.212,14.164,0.933,1.006,1.111,1.098,0.932,1.072,3.815,109.161,35.313,0,0,182.868,0,0,6.055,3.733,11.599,1.992,1.392,0,16,5,3,1,1,0,4,8,0,0,4,1,1,0,0,0,0,14,3,1,5,15,2,1,0,0,0,0,-0.035,0,0,-0.226,0,0,0,1.755,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,3,0,4,0,4,5,5,4,5,4,4,0,0,15,11,19,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,3,7,1.604,2.463,-0.31,Antibacterial
9,196.28,6.543,2,1,2,0,0,0,0,33.3,6.7,6.7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1.035,178,1.95,676,2.04,1.747,0.628,1.432,2.548,2.358,1.309,1.479,10.3506,2.9812,2.679,0.57,0.016,3.615,7.433,7.014,2.707,0.921,0.454,0.145,1.341,0.301,1.227,3.561,26.476,6.763,0,0,57.015,0,0,5.543,4.172,10.39,0,2.196,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,2.278,0,2.106,-0.374,0,0,0,1.505,8.784,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,2.521,-1.85,Antibacterial
10,365.45,8.306,9,3,3,1,0,0,1,36.4,6.8,11.4,0,3,4,1,1,0,0,0,50.636,91.681,0,0,0,0,0.95,852,2.759,9786,2.721,0.898,3.291,0.652,3.988,1.471,0.625,1.846,12.4573,2.0258,4.215,1,0.008,4.037,7.477,8.787,4.234,1.092,1.198,1.227,1.122,0.891,1.055,3.871,17.65,11.771,0,32.22,96.575,0,0,6.799,4.952,11.697,-1,2.377,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,-1.887,0.604,0,0,1.306,0,0,0,0,0,1.35,0,0,1,1,1,0,0,1,2,0,1,1,3,0,1,3,0,1,1,0,0,1,0,1,4,2,2,0,1,2,3,0,2,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0.975,0.831,-2.23,Antibacterial
