No.,MW,AMW,nBM,RBN,nDB,nF,nX,C%,N%,O%,nCIC,nCIR,Rbrid,NRS,nBnz,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr06,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,CENT,ICR,Wap,PHI,MAXDN,LOC,MWC07,SRW05,Vindex,Yindex,IC2,CIC1,VE3sign_A,EE_D,VE3sign_D,VE3sign_X,EE_Dt,VE3sign_Dt,H_D/Dt,Chi_D/Dt,J_D/Dt,VE1_D/Dt,VE3sign_D/Dt,SM1_Dz(p),SpMax_B(m),SpMax_B(p),SpMax_B(s),ATS5s,ATSC1m,ATSC1p,ATSC1s,GATS7s,GATS8s,SpMax2_Bh(p),SpMax2_Bh(s),P_VSA_LogP_1,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_MR_3,P_VSA_MR_4,P_VSA_MR_7,P_VSA_v_4,P_VSA_e_4,P_VSA_i_1,P_VSA_s_1,P_VSA_s_3,P_VSA_s_4,P_VSA_ppp_L,P_VSA_ppp_P,P_VSA_ppp_N,SpMax_EA(dm),SpDiam_AEA(dm),SM15_EA(ed),SM13_EA(dm),SM06_AEA(dm),SM09_AEA(dm),Eig02_EA(dm),nCrs,nCrt,nCconj,nROR,C-005,C-006,C-016,C-025,C-026,H-048,H-051,H-052,H-053,O-060,SdCH2,SssCH2,SdssC,SaasC,SdNH,SsssN,SdsN,SaaN,SaaNH,SaaO,SddssS,NssssC,CATS2D_04_DD,CATS2D_05_DD,CATS2D_08_DD,CATS2D_02_DL,CATS2D_02_AA,CATS2D_09_AA,CATS2D_05_AP,CATS2D_01_AN,CATS2D_02_AL,CATS2D_09_PL,CATS2D_01_LL,CATS2D_03_LL,CATS2D_09_LL,T(N..P),T(N..F),T(N..Cl),T(N..Br),T(O..Cl),T(O..Br),T(S..S),T(S..F),T(S..Cl),T(P..Cl),T(F..Cl),T(Cl..Cl),F02[N-N],F03[C-Cl],F04[C-S],F04[N-O],F04[O-S],F05[O-S],F07[C-Cl],F07[N-O],F08[C-Cl],F08[C-Br],F10[C-S],F10[O-O],MLOGP2,ALOGP,ALOGP2,Class
1,145.17,8.065,11,0,0,0,0,50,5.6,5.6,2,3,1,1,1,0,0,0,39.689,0,0,0,34.168,0,0,71,1.495,940,1.337,1.428,0.629,8.283,0,0.45,1.476,3.414,1.507,-1.034,25.965,-1.902,-0.942,77.566,-1.772,217.767,3.577,14.3087,2.693,-2.744,-1.03,3.895,3.837,6.314,4.229,3.059,1.546,5.639,0,0,3.348,4.938,0,13.765,0,0,0,16.786,0,0,0,0,4.717,56.429,49.954,0,0,0,5.08,34.45,0,-2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.239,0,0,0,4.031,0,0,0,0,0,0,0,1,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.857,1.749,3.059,Antibacterial
2,604.81,6.952,13,19,7,0,0,31,11.5,6.9,1,1,0,1,1,0,0,0,200.963,0,0,0,0,0,0,5009,3.388,10114,17.931,2.924,3.339,9.321,0,0.345,0.924,4.881,2.757,-3.155,364.4,-3.671,-5.903,391.286,-4.084,986.26,1.084,23.3069,5.171,-1.933,-2.653,3.623,3.57,7.478,6.919,19.91,6.574,40.886,1.167,1.027,3.717,7.453,17.65,36.757,8.074,0,0,11.424,0,0,0,0,38.463,76.456,80.89,131.589,0.91,2.375,5.839,34.295,11.398,1.362,0.978,1.987,0,0,0,0,0,2,0,1,0,0,0,11,0,0,0,1.508,-3.667,0.692,0,0,7.705,0,0,0,0,0,0,2,4,4,1,1,0,2,2,0,11,5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0.183,-0.253,0.064,Antibacterial
3,530.37,9.144,11,2,5,0,2,37.9,3.4,15.5,4,10,3,1,1,0,0,0,244.302,0,0,0,300.152,0,0,1585,2.507,55239,6.355,4.265,1.128,10.179,0,0.265,0.839,5.207,1.495,-4.838,171.726,-11.858,-2.437,531.486,-4.102,2431.934,3.483,26.4745,5.045,-5.329,-2.535,4.281,3.936,7.451,7.15,14.037,5.564,64.329,1.179,0.943,3.822,7.427,25.618,15.867,41.084,94.731,0,0,0,69.586,0,0,27.714,85.673,119.582,32.897,0,1.91,6.382,42.133,8.345,1.148,0.409,1.048,2,4,7,0,2,0,0,2,1,0,0,3,1,0,0,0,-7.364,-0.643,0,1.317,0,0,0,0,0,2,2,4,0,8,0,2,2,0,16,2,6,13,2,0,0,36,0,122,0,0,0,0,0,0,0,0,4,0,4,0,0,5,2,5,0,0,2,1.376,NA,NA,Antibacterial
4,611.72,9.71,15,10,10,0,0,34.9,9.5,14.3,5,7,2,3,0,0,81.67,217.833,238.022,0,167.414,173.487,0,0,0,3504,3.043,67606,8.582,6.027,1.296,9.903,3.045,0.161,0.449,5.584,1.303,-5.57,284.105,-3.395,-2.573,488.005,-1.523,1515.997,1.944,14.2586,5.377,-1.577,-2.655,4.715,3.792,7.776,6.714,11.53,6.348,53.297,1.049,1.392,3.85,7.438,10.883,53.963,34.803,39.096,0,53.342,0,0,66.54,3.043,108.606,51.555,96.424,32.897,3.043,3.435,6.932,38.336,10.892,1.403,0.847,2.9,4,0,10,0,1,2,2,0,0,2,0,2,0,2,0,3.222,-0.386,0.359,0,1.113,3.704,4.022,0,0,-5.111,0,0,0,0,1,8,4,1,4,7,1,5,3,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,4,4,2,5,0,3,0,0,6,2,2.643,NA,NA,Antibacterial
5,262.24,9.043,9,2,3,0,0,41.4,6.9,17.2,3,6,2,1,1,0,0,34.22,66.801,0,0,53.858,57.343,0,0,346,2.168,6633,2.767,3.008,1.039,9.197,2.398,0.309,0.96,4.349,1.022,-2.449,68.414,-3.346,-1.171,194.418,-2.06,651.81,3.327,17.4669,3.774,-2.138,-2.104,3.938,3.825,7.483,5.546,3.965,2.569,20.616,2.006,0.698,3.425,7.422,8.825,58.094,23.542,0,0,0,0,0,0,0,33.985,30.779,30.963,0,0.91,1.437,5.836,36.538,0,-0.718,-1.481,1.392,0,0,3,0,0,1,0,1,3,2,0,3,0,2,0,0.53,-2.453,1.758,0,1.46,3.852,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.527,1.391,1.936,Antibacterial
6,355.43,9.873,15,7,4,0,0,36.1,8.3,13.9,2,2,0,2,1,0,0,78.106,86.111,0,0,0,0,0,0,717,2.91,4206,5.822,4.659,1.659,8.918,2.398,0.251,0.666,4.559,1.097,-1.081,127.244,-1.834,-2.377,162.774,-2.384,374.623,1.426,11.406,4.612,-1.428,-2.081,4.716,3.979,7.716,5.938,6.602,3.68,36.171,0.684,0.837,3.766,7.474,0,13.856,11.771,0,0,38.998,0,0,37.085,5.807,46.77,54.601,74.252,0,0.91,2.341,6.686,37.895,11.117,-0.353,-1,1.907,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,-0.42,-1.515,0.667,0,0,0,3.842,0,0,-3.742,0,0,1,0,5,2,0,0,2,4,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,2,2,0,0,0,0,0,1,0,0.314,0.728,0.529,Antibacterial
7,212.01,13.251,1,1,1,0,1,25,6.3,25,1,1,0,1,0,0,0,0,30.514,0,0,0,0,0,0,72,1.571,288,2.359,2.481,1.185,8.059,0,0.598,2.039,3.125,1.219,-0.811,22.825,-2.327,-1.485,39.787,-0.568,93,1.796,8.9797,2.766,-1.415,-1.788,6.88,3.403,7.642,3.45,1.356,1.478,16.572,0,0,2.868,6.999,6.545,0,23.542,22,0,6.545,0,0,0,0,15.835,6.545,45.954,0,0,1.508,5.607,38.216,5.283,0,0,1.392,1,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0.251,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,NA,NA,Antibacterial
8,916.24,6.498,5,13,5,0,0,32.6,0.7,12.1,4,4,0,4,0,0,0,0,692.458,0,0,0,0,0,0,11356,3.595,156017,20.684,2.741,0.999,10.203,0,0.174,0.473,5.324,3.958,-4.38,624.948,-9.413,-4.166,NA,-7.422,4435.195,1.864,24.9794,7.451,-5.133,-3.091,3.64,3.52,7.437,7.326,35.212,14.164,52.236,0.932,1.072,3.742,7.433,109.161,17.31,35.313,301.416,1.079,39.853,0,0,0,0,32.775,152.138,114.889,0,0,2.443,5.648,38.382,11.599,2.261,1.992,1.392,16,5,5,8,4,1,3,0,0,3,5,15,2,1,0,-0.035,-0.226,0,0,1.755,0,0,0,0,0,1,0,0,1,4,4,11,0,0,19,0,11,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,7,1.604,1.569,2.463,Antibacterial
9,196.28,6.543,2,2,1,0,0,33.3,6.7,6.7,1,1,0,1,0,0,0,42.269,0,0,0,0,0,0,0,178,1.95,676,3.255,2.04,1.747,8.413,2.398,0.476,1.432,3.464,2.358,-0.537,45.124,-1.618,-0.304,64.546,-0.851,138.169,1.479,10.3506,3.358,-0.739,-1.526,3.615,3.391,7.433,5.475,7.014,2.707,8.695,0.301,1.227,3.542,6.817,26.476,42.059,6.763,0,0,0,0,0,0,0,13.937,29.6,31.545,0,0,2.449,5.908,35.415,10.39,-1.66,0,2.196,3,0,0,0,0,1,0,0,0,0,0,13,0,1,0,2.278,-0.374,0,0,1.505,0,0,0,0,0,1,0,0,0,0,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,1.588,2.521,Antibacterial
10,365.45,8.306,9,4,3,0,0,36.4,6.8,11.4,3,4,1,2,1,0,50.636,63.579,88.922,91.681,0,0,0,0,0,852,2.759,9786,4.577,2.721,0.898,9.55,2.398,0.235,0.652,4.635,1.471,-2.943,128.322,-1.915,-2.506,207.097,-4.135,558.817,1.846,12.4573,4.09,-1.569,-2.129,4.037,3.739,7.477,6.269,8.787,4.234,31.488,0.891,1.055,3.84,7.427,17.65,62.654,11.771,0,0,0,0,0,32.22,0,41.02,58.68,90.961,32.897,0.91,3.152,6.952,39.681,11.697,-0.27,-1,2.377,2,1,0,0,0,0,0,1,1,1,0,6,0,1,0,0,-1.887,0.604,0,1.306,4.044,0,0,0,0,1,0,0,1,3,3,0,0,2,3,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,1,0.975,0.912,0.831,Antibacterial
