No.,MW,AMW,nBM,RBN,nDB,nN,nO,nF,nCL,nBR,nHM,nX,H%,C%,N%,O%,X%,nCIC,nCIR,Rbrid,nBnz,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr06,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,DBI,CENT,Wap,PHI,MAXDN,MWC07,SRW05,piPC10,X5v,Vindex,Yindex,CIC1,VE1_A,VE3sign_A,J_D,EE_D,VE3sign_D,VE3sign_X,WiA_Dt,EE_Dt,VE3sign_Dt,H_D/Dt,J_D/Dt,VE1_D/Dt,VE3sign_D/Dt,VE3sign_Dz(Z),VE3sign_Dz(v),SM1_Dz(p),SpMax_B(m),VE3sign_B(m),SpMax_B(p),SpMax_B(s),ATS3s,ATSC1m,ATSC1p,ATSC1s,SpMax2_Bh(m),SpMax3_Bh(m),SpMax2_Bh(s),P_VSA_LogP_1,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_MR_3,P_VSA_MR_4,P_VSA_v_4,P_VSA_i_1,P_VSA_i_2,P_VSA_s_1,P_VSA_s_3,P_VSA_s_4,P_VSA_ppp_L,P_VSA_ppp_P,P_VSA_ppp_N,SpMax_EA(dm),SpAD_EA(dm),SpDiam_AEA(dm),Chi1_EA(dm),SM15_EA(ed),SM13_EA(dm),SM05_AEA(dm),SM07_AEA(dm),SM09_AEA(dm),Eig02_EA(dm),nCrs,nCrt,nCconj,nROR,C-005,C-006,C-016,C-025,C-026,H-047,H-051,H-052,H-053,O-060,SdCH2,SssCH2,SdssC,SaasC,SdNH,SsssN,SdsN,SaaN,StN,SaaO,SdS,SddssS,NssssC,NssO,CATS2D_04_DD,CATS2D_05_DD,CATS2D_08_DD,CATS2D_04_DA,CATS2D_02_DL,CATS2D_02_AA,CATS2D_03_AA,CATS2D_04_AA,CATS2D_06_AA,CATS2D_07_AA,CATS2D_01_AN,CATS2D_02_AL,CATS2D_08_AL,CATS2D_01_LL,CATS2D_03_LL,CATS2D_08_LL,T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..F),T(O..Cl),T(O..Br),T(S..S),T(S..P),T(S..F),T(S..Cl),T(P..Cl),T(F..Cl),T(F..Br),T(F..I),T(Cl..Cl),T(Cl..Br),T(Cl..I),F01[C-S],F02[C-S],F02[N-N],F02[O-S],F03[C-P],F03[Cl-Cl],F04[N-O],F04[O-S],F05[C-S],F05[C-Cl],F05[N-O],F05[O-Cl],F05[F-F],F06[C-S],F06[C-F],F06[C-Cl],F06[O-F],F07[C-F],F07[N-O],F08[C-Cl],F09[C-F],F09[C-Cl],F10[C-F],F10[O-O],MLOGP2,ALOGP,ALOGP2,BLTF96,Class
1,145.17,8.065,11,0,0,1,1,0,0,0,0,0,38.9,50,5.6,5.6,0,2,3,1,1,0,0,0,39.689,0,0,0,34.168,0,0,1.225,71,940,1.337,1.428,8.283,0,4.756,0.688,0.45,1.476,1.507,3.157,-1.034,1.9932,25.965,-1.902,-0.942,7.745,77.566,-1.772,217.767,14.3087,2.693,-2.744,-1.633,-1.18,-1.03,3.895,-1.09,3.837,6.314,4.873,3.059,1.546,5.639,3.354,2.959,4.938,0,13.765,0,0,0,0,0,61.146,0,4.717,56.429,49.954,0,0,0,0,5.08,1.163,34.45,0,-2,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0.239,0,0,0,4.031,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.857,1.749,3.059,-3.06,Antibacterial
2,604.81,6.952,13,19,7,10,6,0,0,0,0,0,50.6,31,11.5,6.9,0,1,1,0,1,0,0,0,200.963,0,0,0,0,0,0,6.892,5009,10114,17.931,2.924,9.321,0,5.177,2.417,0.345,0.924,2.757,5.101,-3.155,2.8554,364.4,-3.671,-5.903,8.853,391.286,-4.084,986.26,23.3069,5.171,-1.933,-3.173,-3.488,-2.653,3.623,-4.068,3.57,7.478,6.478,19.91,6.574,40.886,3.797,3.681,7.453,17.65,36.757,8.074,0,0,0,0,114.919,0,38.463,76.456,80.89,131.589,0.91,2.375,25.6,5.839,27.451,34.295,11.398,1.486,1.166,0.978,1.987,0,0,0,0,0,2,0,1,0,13,0,11,0,0,0,1.508,-3.667,0.692,0,0,7.705,0,0,0,0,0,0,0,0,2,4,0,4,1,0,0,2,2,2,2,9,11,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0.183,-0.253,0.064,-1.03,Antibacterial
3,530.37,9.144,11,2,5,2,9,0,2,0,2,2,39.7,37.9,3.4,15.5,3.4,4,10,3,1,0,0,0,244.302,0,0,0,300.152,0,0,4.528,1585,55239,6.355,4.265,10.179,0,7.824,4.727,0.265,0.839,1.495,4.956,-4.838,1.9051,171.726,-11.858,-2.437,15.6,531.486,-4.102,2431.934,26.4745,5.045,-5.329,-3.206,-3.655,-2.535,4.281,-4.614,3.936,7.451,6.533,14.037,5.564,64.329,4.058,3.876,7.427,25.618,15.867,41.084,94.731,0,0,0,81.761,0,27.714,85.673,119.582,32.897,0,1.91,12.065,6.382,37.295,42.133,8.345,1.434,0.928,0.409,1.048,2,4,7,0,2,0,0,2,1,11,0,3,1,0,0,0,-7.364,-0.643,0,1.317,0,0,0,0,0,0,2,1,2,4,0,11,8,0,3,10,6,6,0,16,12,6,13,3,0,0,36,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,4,1,0,0,0,8,0,0,2,5,0,4,0,2,1.376,NA,NA,-0.39,Antibacterial
4,611.72,9.71,15,10,10,6,9,0,0,0,3,0,36.5,34.9,9.5,14.3,0,5,7,2,0,0,81.67,217.833,238.022,0,167.414,173.487,0,0,0,5.148,3504,67606,8.582,6.027,9.903,3.045,7.16,4.697,0.161,0.449,1.303,4.195,-5.57,1.2734,284.105,-3.395,-2.573,12.123,488.005,-1.523,1515.997,14.2586,5.377,-1.577,-2.593,-3.382,-2.655,4.715,-3.343,3.792,7.776,6.295,11.53,6.348,53.297,4.221,4.111,7.438,10.883,53.963,34.803,39.096,0,0,66.54,91.641,3.043,108.606,51.555,96.424,32.897,3.043,3.435,31.998,6.932,31.033,38.336,10.892,1.548,1.286,0.847,2.9,4,0,10,0,1,2,2,0,0,10,0,2,0,2,0,3.222,-0.386,0.359,0,1.113,3.704,4.022,0,0,0,-5.111,0,3,0,0,0,2,1,8,8,5,8,4,4,7,18,5,3,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,0,4,2,4,0,3,0,0,10,0,0,0,0,3,0,0,0,0,2,2.643,NA,NA,-2.77,Antibacterial
5,262.24,9.043,9,2,3,2,5,0,0,0,0,0,34.5,41.4,6.9,17.2,0,3,6,2,1,0,0,34.22,66.801,0,0,53.858,57.343,0,0,2.739,346,6633,2.767,3.008,9.197,2.398,6.735,1.381,0.309,0.96,1.022,3.795,-2.449,1.8019,68.414,-3.346,-1.171,10.772,194.418,-2.06,651.81,17.4669,3.774,-2.138,-2.138,-2.46,-2.104,3.938,-2.336,3.825,7.483,5.608,3.965,2.569,20.616,3.626,3.308,7.422,8.825,58.094,23.542,0,0,0,0,61.763,0,33.985,30.779,30.963,0,0.91,1.437,7.519,5.836,27.658,36.538,0,-0.63,-1,-1.481,1.392,0,0,3,0,0,1,0,1,3,4,0,3,0,2,0,0.53,-2.453,1.758,0,1.46,3.852,0,0,0,0,0,0,2,0,0,0,2,0,2,3,6,2,2,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527,1.391,1.936,-2.01,Antibacterial
6,355.43,9.873,15,7,4,3,5,0,0,0,2,0,36.1,36.1,8.3,13.9,0,2,2,0,1,0,0,78.106,86.111,0,0,0,0,0,0,4.183,717,4206,5.822,4.659,8.918,2.398,6.107,2.087,0.251,0.666,1.097,3.767,-1.081,1.6961,127.244,-1.834,-2.377,7.15,162.774,-2.384,374.623,11.406,4.612,-1.428,-0.602,-1.276,-2.081,4.716,-1.48,3.979,7.716,5.766,6.602,3.68,36.171,4.162,3.77,7.474,0,13.856,11.771,0,0,0,37.085,70.093,5.807,46.77,54.601,74.252,0,0.91,2.341,8.794,6.686,15.781,37.895,11.117,-0.082,-0.836,-1,1.907,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,-0.42,-1.515,0.667,0,0,0,3.842,0,0,0,-3.742,0,0,0,1,0,0,5,2,0,2,0,0,2,4,6,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,2,2,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0.314,0.728,0.529,-1.87,Antibacterial
7,212.01,13.251,1,1,1,1,4,0,0,1,1,1,37.5,25,6.3,25,6.3,1,1,0,0,0,0,0,30.514,0,0,0,0,0,0,2.449,72,288,2.359,2.481,8.059,0,0,0.452,0.598,2.039,1.219,2.928,-0.811,2.4789,22.825,-2.327,-1.485,4.333,39.787,-0.568,93,8.9797,2.766,-1.415,-1.095,-2.232,-1.788,6.88,-1.448,3.403,7.642,5.101,1.356,1.478,16.572,3.602,3.206,6.999,6.545,0,23.542,22,0,0,0,61.789,0,15.835,6.545,45.954,0,0,1.508,7.497,5.607,8.957,38.216,5.283,0,0,0,1.392,1,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0.251,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,NA,NA,-1.04,Antibacterial
8,916.24,6.498,5,13,5,1,17,0,0,0,0,0,54.6,32.6,0.7,12.1,0,4,4,0,0,0,0,0,692.458,0,0,0,0,0,0,5.148,11356,156017,20.684,2.741,10.203,0,6.263,6.251,0.174,0.473,3.958,5.261,-4.38,1.5826,624.948,-9.413,-4.166,16.854,NA,-7.422,4435.195,24.9794,7.451,-5.133,-8.77,-8.596,-3.091,3.64,-5.515,3.52,7.437,7.102,35.212,14.164,52.236,3.815,3.783,7.433,109.161,17.31,35.313,301.416,1.079,0,0,182.868,0,32.775,152.138,114.889,0,0,2.443,27.146,5.648,59.876,38.382,11.599,2.287,2.102,1.992,1.392,16,5,5,8,4,1,3,0,0,30,5,15,2,1,0,-0.035,-0.226,0,0,1.755,0,0,0,0,0,0,1,9,0,0,1,7,4,4,12,12,7,8,0,19,33,11,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,1.604,1.569,2.463,-0.31,Antibacterial
9,196.28,6.543,2,2,1,2,2,0,0,0,0,0,53.3,33.3,6.7,6.7,0,1,1,0,0,0,0,42.269,0,0,0,0,0,0,0,3.464,178,676,3.255,2.04,8.413,2.398,2.303,0.628,0.476,1.432,2.358,3.298,-0.537,2.4688,45.124,-1.618,-0.304,4.835,64.546,-0.851,138.169,10.3506,3.358,-0.739,-1.634,-1.181,-1.526,3.615,-0.702,3.391,7.433,5.325,7.014,2.707,8.695,3.561,3.139,6.817,26.476,42.059,6.763,0,0,0,0,57.015,0,13.937,29.6,31.545,0,0,2.449,10.811,5.908,13.689,35.415,10.39,-1.488,-1.828,0,2.196,3,0,0,0,0,1,0,0,0,3,0,13,0,1,0,2.278,-0.374,0,0,1.505,0,0,8.784,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,1.588,2.521,-1.85,Antibacterial
10,365.45,8.306,9,4,3,3,5,0,0,0,1,0,43.2,36.4,6.8,11.4,0,3,4,1,1,0,50.636,63.579,88.922,91.681,0,0,0,0,0,4.062,852,9786,4.577,2.721,9.55,2.398,6.269,3.291,0.235,0.652,1.471,3.699,-2.943,1.5887,128.322,-1.915,-2.506,8.41,207.097,-4.135,558.817,12.4573,4.09,-1.569,-2.141,-5.283,-2.129,4.037,-6.064,3.739,7.477,5.999,8.787,4.234,31.488,3.871,3.551,7.427,17.65,62.654,11.771,0,0,0,32.22,64.355,0,41.02,58.68,90.961,32.897,0.91,3.152,21.671,6.952,17.685,39.681,11.697,0.415,-0.411,-1,2.377,2,1,0,0,0,0,0,1,1,7,0,6,0,1,0,0,-1.887,0.604,0,1.306,4.044,0,0,0,0,0,1,0,0,0,1,0,3,3,4,0,2,2,2,3,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.975,0.912,0.831,-2.23,Antibacterial
