No.,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
1,145.17,8.065,11,38.9,50,5.6,5.6,0,0,3,12,1,0,0,0,0,0,0,34.168,0,0,940,0.974,0,2.352,0.688,77.566,14.3087,19.581,0.052,3.059,5.639,0,0,47.381,71.24,13.765,0,0,16.786,0,0,0,61.146,16.786,0,4.717,9.943,19.312,0,0,0,0,4.031,9.309,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.857,3.059,Antibacterial,0
2,604.81,6.952,13,50.6,31,11.5,6.9,0,14,1,6,0,0,0,0,0,0,0,0,0,0,10114,16.139,0,10.13,2.417,391.286,23.3069,406.389,0.002,19.91,40.886,17.65,220.516,47.381,201.922,36.757,8.074,0,11.424,0,0,0,114.919,237.203,0,38.463,9.649,16.834,6.435,11,1.508,-4.722,0,9.631,0,2,6,6,11,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0.183,0.064,Antibacterial,0
3,530.37,9.144,11,39.7,37.9,3.4,15.5,3.4,9,10,24,3,0,0,0,0,0,0,300.152,0,0,55239,3.256,0,9.777,4.727,531.486,26.4745,167.134,0.006,14.037,64.329,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,69.586,0,151.346,36.022,0,27.714,16.284,19.733,4.27,3,0,-6.316,0,55.899,5.639,9,7,6,6,2,0,0,0,36,0,0,0,122,0,0,0,0,5,1.376,12.98464698,Antibacterial,0
4,611.72,9.71,15,36.5,34.9,9.5,14.3,0,8,7,26,2,0,81.67,217.833,0,167.414,173.487,0,0,0,67606,6.111,7.273,11.821,4.697,488.005,14.2586,309.061,0.003,11.53,53.297,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,66.54,0,158.181,92.117,0,108.606,12.798,19.852,4.832,2,3.222,-1.791,4.022,8.875,12.959,7,5,7,5,0,121,0,0,0,0,0,0,0,0,0,0,0,12,2.643,12.98464698,Antibacterial,0
5,262.24,9.043,9,34.5,41.4,6.9,17.2,0,3,6,17,2,0,0,34.22,0,0,53.858,57.343,0,0,6633,1.803,6.581,4.021,1.381,194.418,17.4669,67.438,0.015,3.965,20.616,8.825,8.756,18.952,101.773,58.094,23.542,0,0,0,0,0,61.763,19.665,0,33.985,11.389,18.907,0,3,0.53,0,0,9.007,10.439,6,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.527,1.936,Antibacterial,0
6,355.43,9.873,15,36.1,36.1,8.3,13.9,0,2,2,11,0,0,0,78.106,0,0,0,0,0,0,4206,5.39,6.26,6.986,2.087,162.774,11.406,119.467,0.009,6.602,36.171,0,23.08,51.362,187.862,13.856,11.771,0,38.998,31.278,37.085,0,107.178,51.201,0,46.77,12.508,20.171,6.092,0,-0.42,0,3.842,8.502,0,3,6,2,3,0,20,0,0,0,0,0,0,0,0,0,0,0,7,0.314,0.529,Antibacterial,0
7,212.01,13.251,2,37.5,25,6.3,25,6.3,4,1,6,0,0,0,0,0,0,0,0,0,0,288,1.738,0,3.466,0.452,39.787,8.9797,26.022,0.033,1.356,16.572,5.67,15.835,0,22,0,23.542,50.747,0,45.954,0,45.954,61.789,51.624,0,15.835,12.779,17.652,6.693,0,0.251,0,0,0,9.471,1,4,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0.041,0.455,Antibacterial,0
8,916.24,6.498,5,54.6,32.6,0.7,12.1,0,39,4,34,0,0,0,0,0,0,0,0,0,0,156017,13.777,0,18.743,6.251,198.409634,24.9794,117.4183376,0.001,35.212,52.236,109.161,17.265,242.924,198.954,17.31,35.313,0,39.853,0,0,0,182.868,3.124,0,32.775,12.607,17.189,6.159,15,-0.035,-17.59,0,55.771,54.67,15,11,19,11,14,0,0,0,0,0,0,0,0,0,0,0,0,2,1.604,2.463,Antibacterial,0
9,196.28,6.543,2,53.3,33.3,6.7,6.7,0,8,1,5,0,0,0,42.269,0,0,0,0,0,0,676,3.075,6.581,4.461,0.628,64.546,10.3506,52.849,0.016,7.014,8.695,26.476,10.299,0,41.747,42.059,6.763,0,0,0,0,0,57.015,34.184,0,13.937,10.432,15.907,5.395,13,2.278,-0.301,0,0,5.19,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.289,2.521,Antibacterial,0
10,365.45,8.306,9,43.2,36.4,6.8,11.4,0,7,4,15,1,0,50.636,63.579,91.681,0,0,0,0,0,9786,3.038,7.413,8.37,3.291,207.097,12.4573,125.603,0.008,8.787,31.488,17.65,36.022,37.905,141.271,62.654,11.771,0,0,32.22,32.22,0,96.575,52.807,0,41.02,14.063,17.988,6.398,6,0,-3.138,0,28.86,0,1,4,2,4,4,11,0,0,0,0,0,0,0,0,0,0,0,5,0.975,0.831,Antibacterial,0
