,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,Wap,MAXDN,LOC,X3v,X5v,Yindex,IC1,CIC3,J_D/Dt,J_Dz(Z),SM1_Dz(e),ChiA_Dz(p),SM1_Dz(p),SpMax_B(m),SpMax_B(s),nCp,nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nRCONHR,nOHs,nROR,nArOR,nArX,Hy,MLOGP,MLOGP2,ALOGP2,Class,Label
0,145.17,8.065,11.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,5.6,5.6,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,1.428,0.629,1.611,0.688,1.476,2.663,0.111,14.3087,3.065,0.325,0.052,-1.03,3.895,6.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.206,1.964,3.857,3.059,Antibacterial,0
1,604.81,6.952,13.0,7.0,10.0,0.0,0.0,0.0,0.0,31.0,11.5,6.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10114.0,2.924,3.339,6.16,2.417,0.924,3.686,1.152,23.3069,3.2328,1.35,0.002,-2.653,3.623,7.478,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.155,-0.428,0.183,0.064,Antibacterial,0
2,530.37,9.144,11.0,5.0,2.0,0.0,0.0,2.0,2.0,37.9,3.4,15.5,4.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55239.0,4.265,1.128,7.757,4.727,0.839,4.363,0.453,26.4745,2.2469,1.365,0.006,-2.535,4.281,7.451,1.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.033,-1.173,1.376,12.9139950622,Antibacterial,0
3,611.72,9.71,15.0,10.0,6.0,3.0,0.0,0.0,3.0,34.9,9.5,14.3,5.0,7.0,2.0,2.0,1.0,0.0,0.0,81.67,217.833,0.0,167.414,173.487,0.0,0.0,67606.0,6.027,1.296,8.64,4.697,0.449,4.674,0.298,14.2586,1.6505,1.449,0.003,-2.655,4.715,7.776,0.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.63,1.626,2.643,12.9139950622,Antibacterial,0
4,262.24,9.043,9.0,3.0,2.0,0.0,0.0,0.0,0.0,41.4,6.9,17.2,3.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,34.22,0.0,0.0,53.858,0.0,0.0,6633.0,3.008,1.039,2.952,1.381,0.96,3.836,0.371,17.4669,2.3975,0.92,0.015,-2.104,3.938,7.483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.146,0.726,0.527,1.936,Antibacterial,0
5,355.43,9.873,15.0,4.0,3.0,2.0,0.0,0.0,2.0,36.1,8.3,13.9,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,78.106,0.0,0.0,0.0,0.0,0.0,4206.0,4.659,1.659,4.841,2.087,0.666,4.072,0.389,11.406,2.5635,1.026,0.009,-2.081,4.716,7.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.204,0.56,0.314,0.529,Antibacterial,0
6,212.01,13.251,2.0,2.0,1.0,0.0,0.0,0.0,1.0,25.0,6.3,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,2.481,1.185,1.888,0.452,2.039,2.656,1.0,8.9797,3.3136,0.82,0.033,-1.788,6.88,7.813,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.384,0.202,0.041,0.455,Antibacterial,0
7,916.24,6.498,5.0,5.0,1.0,0.0,0.0,0.0,0.0,32.6,0.7,12.1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156017.0,2.741,0.999,13.414,6.251,0.473,3.181,0.857,24.9794,1.8217,1.673,0.001,-3.091,3.64,7.437,8.0,0.0,16.0,5.0,3.0,1.0,1.0,0.0,4.0,8.0,0.0,0.0,1.865,-1.266,1.604,2.463,Antibacterial,0
8,196.28,6.543,2.0,1.0,2.0,0.0,0.0,0.0,0.0,33.3,6.7,6.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,42.269,0.0,0.0,0.0,0.0,0.0,676.0,2.04,1.747,2.03,0.628,1.432,2.548,1.309,10.3506,2.9812,0.57,0.016,-1.526,3.615,7.433,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.696,0.538,0.289,2.521,Antibacterial,0
9,365.45,8.306,9.0,3.0,3.0,1.0,0.0,0.0,1.0,36.4,6.8,11.4,3.0,4.0,1.0,1.0,0.0,0.0,0.0,50.636,63.579,91.681,0.0,0.0,0.0,0.0,9786.0,2.721,0.898,6.006,3.291,0.652,3.988,0.625,12.4573,2.0258,1.0,0.008,-2.129,4.037,7.477,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.686,0.987,0.975,0.831,Antibacterial,0
