,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
501,192.23,7.393,8,46.2,42.3,0,11.5,0,2,1,6,0,0,0,0,0,0,0,0,0,0,758,4.402,0,2.573,0.52,74.087,9.9789,57.56,0.014,5.159,6.764,0,24.952,56.857,32.336,27.243,0,0,9.476,0,0,0,94.244,0,0,21.62,7.026,15.993,6.362,0,0.148,0,0,0,9.887,3,3,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.096,5.527,FlavorsandFragrances,3
697,256.32,7.323,13,45.7,45.7,0,8.6,0,3,2,12,0,0,0,0,0,0,0,0,0,0,2838,4.324,0,4.171,1.099,135.379,10.63,89.357,0.01,6.976,4.924,10.883,7.127,85.286,32.336,33.614,0,0,0,0,0,0,122.102,0,0,25.933,7.454,17.149,6.312,0,0.59,0,0,0,10.292,5,6,4,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10.135,10.806,FlavorsandFragrances,3
588,264.34,7.343,15,44.4,50,0,5.6,0,1,2,12,0,0,0,0,0,0,0,0,0,0,3090,5.395,0,4.187,1.033,154.655,10.5133,96.567,0.009,6.837,4.842,0,4.592,132.667,32.336,17.371,0,0,37.905,0,0,0,150.822,0,0,18.155,7.026,16.951,0,0,0.271,0,0,0,5.073,3,3,7,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16.638,17.678,FlavorsandFragrances,3
732,79.11,7.192,6,45.5,45.5,9.1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,90,0.808,0,1.025,0.172,21,7.5,6.455,0.147,2.132,2.678,0,0,28.429,40.328,18.095,0,0,16.786,0,0,0,46.524,16.786,0,0,4,0,0,0,0,0,3.785,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.219,0.462,FlavorsandFragrances,3
591,857.5,5.462,7,61.1,34.4,0,4.5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,35636,52.084,0,17.405,4.777,198.409634,60,117.4183376,0.001,39.115,19.059,8.825,108.032,118.493,133.411,22,0,0,75.81,0,0,0,207.959,0,0,123.324,6.095,14.501,7.173,8,42.611,-0.287,0,18.84,10.851,7,7,9,44,32,0,0,0,0,0,0,0,0,0,0,0,0,0,88.014,309.454,FlavorsandFragrances,3
641,150.24,6.01,6,56,40,0,4,0,4,1,6,0,0,0,0,0,0,0,0,0,0,397,1.809,0,2.868,0.622,48.799,9.7062,24.803,0.045,5.962,6.566,17.65,2.535,37.905,42.683,3.186,0,0,0,0,0,0,61.276,0,0,5.72,9.596,17.423,0,0,1.067,0.455,0,9.412,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.914,10.323,FlavorsandFragrances,3
739,98.148,12.269,1,37.5,25,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,5.273,0,1.333,0,7.46,4,6.797,0.129,0.768,6.378,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,15.96364885,3.129470516,104.3282589,26.42963314,3.005480922,28.89713982,4.842,12.839,5.889,0,0,0,0,0,4.299,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,12.98464698,FlavorsandFragrances,3
790,178.25,6.602,7,51.9,40.7,0,7.4,0,4,1,6,0,0,0,0,0,0,0,0,0,0,594,3.387,0,3.358,0.574,62.723,9.7368,43.099,0.021,6.02,4.032,17.65,4.592,47.381,32.336,14.185,0,0,0,0,0,0,80.001,0,0,14.969,8.542,16.837,0,1,0.48,0.382,0,0,5.051,3,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.676,8.278,FlavorsandFragrances,3
867,170.28,5.676,1,60,33.3,0,6.7,0,9,1,6,0,0,0,0,0,0,0,0,0,0,500,3.744,0,3.5,1.087,56.596,9.3254,42.152,0.021,7.551,2.85,8.825,17.742,0,32.336,11,0,0,0,0,0,0,33.758,0,0,24.933,7.389,13.891,6.158,4,7.392,0.234,0,0,5.293,4,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.238,9.015,FlavorsandFragrances,3
767,176.23,7.049,8,48,44,0,8,0,2,1,6,0,0,0,0,0,0,0,0,0,0,616,3.676,0,2.634,0.589,64.747,9.6611,43.512,0.022,5.122,5.505,0,22.894,56.857,32.336,14.185,0,0,9.476,0,0,0,90.128,0,0,17.504,7.391,16.092,6.312,0,0.611,0,0,0,4.838,3,3,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.717,5.462,FlavorsandFragrances,3
765,172.3,5.384,1,62.5,31.3,0,6.3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,265,8.636,0,3.031,0.504,45.974,11,49.978,0.018,7.916,3.485,17.65,19.8,0,32.336,11,0,0,0,0,0,0,44.641,0,0,26.991,6.066,13.492,6.158,2,6.716,0,0,0,4.99,3,3,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7.186,11.46,FlavorsandFragrances,3
592,112.19,5.61,2,60,35,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,84,6.642,0,1.706,0.225,21.836,7,19.297,0.057,4.614,4.467,8.825,7.604,18.952,48.34,0,0,0,30.377,0,0,0,46.805,0,0,7.604,3.57,0,0,0,3.419,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.849,5.226,FlavorsandFragrances,3
646,140.25,5.394,2,61.5,34.6,0,3.8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,165,8.571,0,2.414,0.469,34.343,9,31.491,0.035,6.131,5.017,8.825,12.673,18.952,48.34,0,0,0,30.377,0,0,0,51.875,0,0,12.673,3.742,0,0,0,6.156,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.469,10.23,FlavorsandFragrances,3
