MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,Wap,MAXDN,LOC,X3v,X5v,Yindex,IC1,CIC3,J_D/Dt,J_Dz(Z),SM1_Dz(e),ChiA_Dz(p),SM1_Dz(p),SpMax_B(m),SpMax_B(s),nCp,nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nRCONHR,nOHs,nROR,nArOR,nArX,Hy,MLOGP,MLOGP2,ALOGP2,Class,Label
1882.59,6.821,56,16,20,0,0,0,0,35.9,7.2,6.2,8,12,4,4,4,0,0,0,1970.949,0,0,3605.118,0,0,465201,2.81,2.357,23.583,10.396,0.228,3.45,2.732,19.303,1.0935,2.073,0,-3.509,3.966,7.462,19,0,0,0,0,0,0,16,0,0,0,0,13.1,-3.492,12.192,78.62,Antibacterial,0
261.27,8.428,9,3,1,0,1,0,0,45.2,3.2,9.7,3,7,3,0,0,3,0,0,0,0,0,0,0,69.801,7521,2.945,0.954,3.706,2.13,1.05,3.898,0.282,18.606,2.4224,0.784,0.017,-1.994,3.94,8.201,1,0,3,0,0,1,0,0,0,0,0,1,-0.249,2.223,4.941,5.041,Antibacterial,0
843.19,6.34,4,4,2,0,0,0,0,32.3,1.5,10.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,128237,2.751,0.98,12.379,5.779,0.518,3.108,1.015,25.2775,1.8854,1.554,0.002,-2.944,3.627,7.437,6,0,19,3,4,0,1,0,3,7,0,0,1.245,-0.292,0.085,4.2,Antibacterial,0
367.84,9.68,10,4,3,1,0,1,2,39.5,7.9,10.5,3,4,1,0,0,0,0,44.808,0,0,95.429,0,0,0,8925,2.926,0.882,5.614,3.014,0.664,4.028,0.388,12.8624,1.9424,0.986,0.008,-1.948,4.054,7.479,0,0,1,0,2,0,0,1,0,0,0,0,1.901,0.982,0.964,0.112,Antibacterial,0
515.59,9.915,14,9,9,2,0,0,2,36.5,17.3,9.6,5,7,2,2,1,0,0,69.327,188.011,0,140.874,152.634,0,0,56366,3.13,0.965,7.261,3.989,0.434,4.669,0.207,13.3342,1.5602,1.285,0.004,-2.452,4.195,7.61,0,0,1,0,3,1,0,1,0,0,0,0,1.018,0.51,0.26,12.91399506,Antibacterial,0
1665.11,8.367,45,19,19,5,0,0,5,36.2,9.5,9,10,89,103,5,0,1,0,0,711.705,0,0,0,0,0,25018035,3.458,1.232,24.318,11.538,0.291,4.421,0.671,44.8898,1.2948,2.13,0.001,-3.467,4.241,7.455,10,0,13,1,7,0,0,7,4,0,0,0,11.165,-7.321,53.604,0.16,Antibacterial,0
622.93,6.107,5,5,0,0,0,0,0,34.3,0,8.8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,27841,3.049,0.919,9.497,3.94,0.819,3.14,1.114,29.0265,2.6879,1.169,0.003,-2.468,3.674,7.433,9,0,8,3,6,2,1,0,3,3,0,0,1.331,2.414,5.826,22.562,Antibacterial,0
347.43,8.474,10,4,3,1,0,0,1,39,7.3,9.8,3,4,1,0,0,0,0,44.808,0,0,95.429,0,0,0,8925,2.795,0.882,5.525,2.957,0.664,3.925,0.476,12.8624,1.9233,0.905,0.008,-1.975,3.974,7.479,1,0,1,0,1,1,0,1,0,0,0,0,1.86,0.982,0.964,0.17,Antibacterial,0
667.731,9.405,18,7,9,2,0,0,3,35.2,12.7,11.3,5,6,1,1,0,0,0,99.013,146.347,0,204.319,0,0,0,66773,2.728,0.926,10.18,5.445,0.409,4.333,0.387,13.9033,1.5645,-0.441,0.003,-2.659,4.028,7.5,1,0,1,0,1,1,0,1,0,0,0,0,0.903,0.872,0.76,12.91399506,Antibacterial,0
467.6,6.777,0,0,5,0,0,0,0,26.1,7.2,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,18888,2.774,0.931,6.415,3.016,0.65,3.063,0.754,15.2583,1.9833,1.363,0.004,-2.695,3.593,6.295,2,0,14,0,0,0,0,0,4,4,0,0,12.154,-4.51,20.338,47.057,Antibacterial,0
508.56,7.824,19,2,0,0,0,0,0,43.1,0,13.8,5,11,3,0,0,3,0,0,0,0,0,0,0,0,111532,3.154,0.945,7.29,3.86,0.616,3.851,0.508,23.3028,1.9887,1.169,0.006,-2.468,4.089,7.433,2,0,4,1,1,0,0,0,2,1,2,0,1.471,1.374,1.889,7.907,Antibacterial,0
1326.57,7.991,26,10,17,2,0,0,2,30.7,10.2,12.7,6,6,0,3,0,0,0,0,1040.698,0,0,0,0,0,278259,4.582,1.215,17.294,7.368,0.346,4.335,0.499,18.8257,1.4753,2.159,0.001,-3.573,4.187,7.454,7,0,7,2,0,0,0,3,5,4,0,0,19.129,-9.23,85.188,94.401,Antibacterial,0
550.62,7.866,2,2,4,1,0,0,1,24.3,5.7,20,3,3,0,1,0,0,0,0,102.171,0,0,0,0,0,21920,5.916,1.258,6.695,3.225,0.729,3.397,0.537,16.7044,2.2923,1.624,0.003,-2.986,4.713,7.775,2,0,13,0,0,0,0,0,5,4,0,0,10.801,-4.527,20.496,53.915,Antibacterial,0
