No.,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,X%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,BLI,CENT,ICR,Wap,MAXDN,LOC,X5v,Yindex,IC1,CIC1,CIC5,Chi_D/Dt,J_D/Dt,J_Dz(Z),SpPosA_Dz(e),SM1_Dz(e),ChiA_Dz(p),SpMax_B(m),SpMax_B(s),ATSC1m,ATSC1p,GATS7m,GATS8m,GATS6e,GATS7p,GATS7s,GATS8s,SpMax2_Bh(m),P_VSA_LogP_1,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_8,P_VSA_v_3,P_VSA_v_4,P_VSA_s_1,SpDiam_EA(bo),SpMax_AEA(dm),SM13_EA(dm),SM09_AEA(dm),Eig02_EA(dm),nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nArOH,nOHs,nROR,nArOR,nArX,C-005,C-006,C-011,C-019,C-026,C-028,C-034,H-046,H-048,H-049,H-051,H-052,H-053,O-060,O-061,N-075,F-083,SdCH2,SssCH2,StCH,StsC,SdssC,SaasC,SaaaC,SdNH,SsssN,StN,SaaNH,SaaO,SdsssP,SdS,SssS,SddssS,SsBr,NssssC,NsNH2,NdsN,CATS2D_04_DD,CATS2D_05_DD,CATS2D_07_DD,CATS2D_02_DA,CATS2D_04_DA,CATS2D_07_DA,CATS2D_01_DN,CATS2D_02_DL,CATS2D_01_AA,CATS2D_02_AA,CATS2D_03_AA,CATS2D_04_AA,CATS2D_05_AA,CATS2D_06_AA,CATS2D_07_AA,CATS2D_09_AA,CATS2D_05_AN,CATS2D_01_AL,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_03_PL,CATS2D_05_PL,CATS2D_06_PL,CATS2D_08_PL,CATS2D_03_NL,CATS2D_06_NL,CATS2D_09_NL,CATS2D_03_LL,CATS2D_08_LL,T(N..S),T(N..P),T(N..Cl),T(N..Br),T(N..I),T(O..F),T(O..Cl),T(O..Br),T(S..S),T(S..P),T(S..Cl),T(S..Br),T(P..F),T(P..Cl),T(P..Br),T(F..Cl),T(F..Br),T(F..I),T(Cl..Cl),T(Cl..Br),T(Cl..I),T(Br..Br),F02[C-P],F02[C-Si],F02[N-N],F02[N-S],F02[O-S],F03[C-Si],F03[C-X],F03[N-O],F03[O-F],F03[O-X],F03[Cl-Cl],F04[N-N],F04[N-O],F04[O-O],F04[O-S],F04[O-Cl],F05[N-N],F05[N-F],F05[O-S],F05[O-F],F05[O-Cl],F06[C-X],F06[N-F],F06[O-F],F06[O-Cl],F07[N-N],F07[N-O],F07[O-S],F07[O-F],F08[C-S],F08[C-Cl],F08[N-N],F08[O-F],F09[O-O],F09[O-F],F09[O-X],F10[N-N],F10[N-O],F10[O-O],MLOGP2,ALOGP2,BLTF96,Class,Label
43,751.12,6.107,3,3,0,0,0,0,0,34.1,0,8.9,0,5,5,0,1,0,0,0,0,0,0,0,0,0,1.091,6949,3.542,184631,2.62,1.019,7.351,0.407,2.787,4.155,0.549,1.659,15.765,1.4671,7.79,1.312,0.002,3.763,7.477,31.549,13.427,1.003,1.054,0.992,1.065,0.99,1.168,3.851,88.252,0,0,0,138.593,0,0,6.206,4.246,11.432,1.489,2.178,0,15,5,2,0,0,0,2,5,0,0,0,0,2,0,0,0,0,32,0,0,3,18,4,0,0,0,0,0,5.984,0,0,-0.952,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,1,6,0,2,1,3,1,2,1,0,0,0,19,22,15,0,0,0,0,2,2,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,7.594,32.942,-3.73,Antibacterial,0
444,139.22,6.053,2,2,1,0,0,0,0,34.8,4.3,4.3,0,1,1,0,0,0,0,0,0,31.336,0,0,0,0,1.129,58,1.571,350,1.438,1.129,0.751,1.783,2.666,1.858,0.522,2.155,10.7768,2.7097,1.989,0.325,0.038,3.484,7.426,5.58,2.154,0,0,0.086,0,0,0,3.286,0,11.771,0,0,41.763,0,0,5.135,3.715,8.602,0,0.555,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,2,2,0,0,0,0,0,3.582,4.908,0,0,0.229,0,0,0,1.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,0.692,-2.37,Antibacterial,0
189,290.36,7.445,12,0,4,0,0,0,0,35.9,10.3,7.7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.851,548,2.475,3874,1.513,1.103,1.358,0.879,3.412,1.874,0.93,1.763,12.9294,2.5628,3.344,0.829,0.012,3.832,5.132,8.338,3.061,0.531,0.942,1.086,0.757,0.327,0.911,3.781,32.649,4.227,0,0,89.512,0,0,7.113,3.387,0,-1.205,0.86,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,2,0,1,0,0,0,3,0,2,0,0,0.531,0,0,0,3.939,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,1,2,0,1,0,1,2,1,0,0,4,0,0,0,4,6,1,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1.591,2.383,-2.46,Antibacterial,0
293,420.57,8.246,5,5,4,2,0,0,2,29.4,7.8,11.8,0,3,4,1,2,0,0,0,56.998,99.485,0,0,0,0,1.148,1163,2.742,13382,4.675,1.409,4.652,0.651,3.769,1.903,0.383,1.83,13.2651,2.1668,4.848,1.155,0.008,4.691,7.73,14.029,4.905,0.888,0.901,1.224,0.905,0.96,1.17,4.118,17.65,0,0,32.22,72.107,0,5.569,7.07,4.651,8.602,-0.851,1.94,0,4,2,2,0,0,0,1,0,0,0,0,2,0,2,0,0,0,3,0,0,1,3,3,0,0,0,0,0,1.381,0,0,-0.862,0,0,0,1.301,0,0,0,0,0,1.412,-3.759,0,0,1,0,0,1,2,5,2,2,1,3,0,2,1,0,1,0,0,0,0,0,3,2,1,0,1,0,0,2,1,0,2,1,31,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,2,2,0,2,0,1,0,0,0,0,1,3,0,0.09,5.484,-1.65,Antibacterial,0
156,336.39,7.823,11,5,1,0,0,0,0,46.5,2.3,9.3,0,5,15,4,1,1,3,0,0,0,0,61.757,0,0,0.858,735,2.774,49516,1.201,0.769,2.805,0.582,3.6,1.826,0.361,4.646,22.458,1.7957,3.461,0.753,0.01,4.02,4.937,8.185,4.185,1.024,0.928,0.961,0.916,0.992,0.911,3.856,18.4007847677,10.0758593326,12.8635842248,11.0550745649,124.733,0,0,7.775,3.461,0.054,-0.325,0.86,0,1,0,5,2,0,0,0,2,2,0,2,1,0,3,2,0,0,0,3,0,0,2,0,2,0,0,0,0,2.173,0,0,5.342,1.516,0,0,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0,0,8,11,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6.038,13.7689722047,-3.48,Antibacterial,0
300,406.89,15.07,12,0,0,0,0,6,6,48.1,0,7.4,22.2,2,2,0,0,0,0,0,0,0,0,0,0,0,1.051,502,2.035,3868,1.919,0.74,2.094,1.043,3.087,1.667,0.963,1.928,14.1401,2.9176,3.091,1.012,0.016,4.183,6.318,4.917,1.259,1.029,1.495,0.938,1.048,1.031,1.137,4.134,0,0,234.892,0,283.754,0,0,7.302,3.636,0,-1.303,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.046,0,0,0,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,23.081,52.652,-5.47,Antibacterial,0
66,862.19,6.387,4,4,1,0,0,0,0,31.9,0.7,11.9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1.04,9770,3.226,88635,3.293,1.48,5.452,0.732,2.874,4.202,0.656,1.97,30.536,2.4872,7.201,1.626,0.002,3.678,7.437,33.876,13.478,1.036,1.03,1.138,1.223,0.999,0.991,3.794,124.753,23.542,0,0,171.979,0,0,5.581,3.948,12.771,1.694,2.443,0,12,7,0,0,3,0,2,5,0,0,3,1,3,0,0,0,0,15,2,0,7,22,3,3,0,0,0,0,0.046,0,0,-2.523,0,0,0,1.868,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,5,0,4,0,5,3,7,7,8,1,5,0,0,21,17,21,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,4,5,0.055,6.007,-1.59,Antibacterial,0
389,59.09,6.566,1,1,3,0,0,0,0,11.1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827,6,0.811,9,2,0.811,0,0,2.059,1.111,0,1,3,3.2054,0.87,0.346,0.204,3.257,5.816,2.277,0.203,0,0,0,0,0,0,2.27,0,1.899,0,0,1.899,0,0,4.123,2.586,1.24,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333,0,0,6.056,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125,1.103,-0.15,Antibacterial,0
30,785.97,7.277,26,6,3,0,0,0,0,39.8,2.8,10.2,0,6,15,17,2,3,1,0,0,0,0,356.164,0,0,0.917,4457,2.615,816390,3.208,0.895,5.375,0.441,4.081,2.674,0.44,4.271,37.8246,1.6853,6.2,1.417,0.002,4.244,7.436,23.317,10.687,0.979,1.091,1.113,1.036,0.964,1.157,3.947,90.31,25.686,0,0,216.67,0,0,8.137,4.282,11.726,1.593,2.098,0,1,0,4,1,1,2,2,2,1,0,1,0,0,0,4,1,1,21,2,0,3,1,6,2,0,1,0,0,0,0,0,-1.535,0.159,0.926,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,4,4,0,8,0,3,2,2,3,7,2,3,0,0,17,15,16,0,0,0,0,0,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,2,6,3.328,24.931,-2.94,Antibacterial,0
384,172.57,10.786,7,1,0,0,0,1,1,43.8,0,18.8,6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.874,80,1.936,399,2.834,1.16,0.479,1.727,3.156,0.844,0,1.788,9.8364,3.4875,1.86,0.668,0.045,3.924,7.478,1.371,1.385,7.55,0,0.034,3.44,1.169,0,3.494,0,0,39.149,0,75.173,0,0,6.979,3.613,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.167,-0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.039,3.354,-3.3,Antibacterial,0
