,,Predicted Functional Uses,,,,,,,,,,
,,Antibacterial,Chelating,Colorants,Fragrances,Herbicide,Oxidation,Pesticide,Pharmaceutical,Solvents,Surfactant,
Actual Functional Uses,Antibacterial,27,1,2,0,0,0,0,0,0,0,
,Chelating,2,21,2,3,0,0,1,0,0,1,
,Colorants,0,1,17,1,0,0,0,0,0,0,
,Fragrances,0,0,4,285,0,5,2,0,3,1,
,Herbicide,0,0,0,0,22,0,4,4,0,0,
,Oxidation,0,0,0,1,1,26,2,0,0,0,
,Pesticide,0,0,0,0,6,1,21,0,0,2,
,Pharmaceutical,6,0,5,2,144,35,41,3323,39,13,
,Solvents,0,0,0,2,0,0,0,0,27,1,
,Surfactant,0,0,0,0,0,1,1,3,1,24,
